,Skill,Job_Posting_Count,Applicant_Count,Sum,x,y
0,Artificial Intelligence,7,2,9,0.025333333333333326,-0.031153846153846157
1,Machine Learning,18,14,32,0.2697777777777778,0.43038461538461537
2,JavaScript,6,7,13,0.003111111111111104,0.16115384615384615
3,Java,11,12,23,0.11422222222222221,0.35346153846153844
4,Python,28,24,52,0.492,0.8150000000000001
5,Agile Methodologies,23,2,25,0.3808888888888889,-0.031153846153846157
6,"Extract, Transform, Load (ETL)",45,14,59,0.8697777777777778,0.43038461538461537
7,Databases,41,6,47,0.7808888888888889,0.12269230769230768
8,SQL,28,26,54,0.492,0.8919230769230769
9,Git,9,4,13,0.06977777777777777,0.04576923076923077
10,English,1,1,2,-0.10800000000000001,-0.06961538461538462
11,AWS,21,5,26,0.33644444444444443,0.08423076923076923
12,PostgreSQL,9,0,9,0.06977777777777777,-0.10807692307692308
13,Docker Products,8,1,9,0.047555555555555545,-0.06961538461538462
14,Microservices,2,1,3,-0.08577777777777779,-0.06961538461538462
15,NoSQL,3,0,3,-0.06355555555555556,-0.10807692307692308
16,Business Intelligence,2,1,3,-0.08577777777777779,-0.06961538461538462
17,Tableau,2,2,4,-0.08577777777777779,-0.031153846153846157
18,Google Cloud Platform (GCP),14,1,15,0.1808888888888889,-0.06961538461538462
19,Data Science,5,7,12,-0.019111111111111117,0.16115384615384615
20,Data Warehousing,21,1,22,0.33644444444444443,-0.06961538461538462
21,Analytical Skills,27,2,29,0.4697777777777778,-0.031153846153846157
22,Microsoft Azure,25,4,29,0.42533333333333334,0.04576923076923077
23,Object-Oriented Programming (OOP),4,1,5,-0.04133333333333334,-0.06961538461538462
24,Cloud Technologies,5,0,5,-0.019111111111111117,-0.10807692307692308
25,DevOps,27,0,27,0.4697777777777778,-0.10807692307692308
26,Problem Solving,6,2,8,0.003111111111111104,-0.031153846153846157
27,Streaming Data,17,0,17,0.24755555555555556,-0.10807692307692308
28,Amazon S3,1,0,1,-0.10800000000000001,-0.10807692307692308
29,Communication,8,2,10,0.047555555555555545,-0.031153846153846157
30,Linux,6,1,7,0.003111111111111104,-0.06961538461538462
31,Computer Science,5,1,6,-0.019111111111111117,-0.06961538461538462
32,REST APIs,11,1,12,0.11422222222222221,-0.06961538461538462
33,Go,1,0,1,-0.10800000000000001,-0.10807692307692308
34,React.js,3,1,4,-0.06355555555555556,-0.06961538461538462
35,TensorFlow,1,2,3,-0.10800000000000001,-0.031153846153846157
36,Data Modeling,20,1,21,0.31422222222222224,-0.06961538461538462
37,Rabbit MQ,2,0,2,-0.08577777777777779,-0.10807692307692308
38,Scala,6,0,6,0.003111111111111104,-0.10807692307692308
39,Apache Spark,5,5,10,-0.019111111111111117,0.08423076923076923
40,Apache Kafka,7,1,8,0.025333333333333326,-0.06961538461538462
41,StreamSets,2,0,2,-0.08577777777777779,-0.10807692307692308
42,NiFi,2,0,2,-0.08577777777777779,-0.10807692307692308
43,Flume,2,0,2,-0.08577777777777779,-0.10807692307692308
44,Flink,2,0,2,-0.08577777777777779,-0.10807692307692308
45,Monitoring,10,0,10,0.092,-0.10807692307692308
46,Mongo DB,4,1,5,-0.04133333333333334,-0.06961538461538462
47,Microsoft SQL Server,9,5,14,0.06977777777777777,0.08423076923076923
48,Data Visualization,4,1,5,-0.04133333333333334,-0.06961538461538462
49,Big Data,8,3,11,0.047555555555555545,0.007307692307692306
50,Front-End Development,1,1,2,-0.10800000000000001,-0.06961538461538462
51,Testing,1,0,1,-0.10800000000000001,-0.10807692307692308
52,Data Structures,6,2,8,0.003111111111111104,-0.031153846153846157
53,Clojure,2,0,2,-0.08577777777777779,-0.10807692307692308
54,SQL Server Integration Services (SSIS),3,2,5,-0.06355555555555556,-0.031153846153846157
55,C#,1,1,2,-0.10800000000000001,-0.06961538461538462
56,Oracle Databases,4,1,5,-0.04133333333333334,-0.06961538461538462
57,Microsoft Power BI,6,9,15,0.003111111111111104,0.23807692307692305
58,SQL Server Reporting Services (SSRS),6,1,7,0.003111111111111104,-0.06961538461538462
59,PHP,2,0,2,-0.08577777777777779,-0.10807692307692308
60,Hadoop,1,3,4,-0.10800000000000001,0.007307692307692306
61,Hive,1,1,2,-0.10800000000000001,-0.06961538461538462
62,Cobol,1,0,1,-0.10800000000000001,-0.10807692307692308
63,Mainframe,1,0,1,-0.10800000000000001,-0.10807692307692308
64,SAP,1,0,1,-0.10800000000000001,-0.10807692307692308
65,Informatica,1,1,2,-0.10800000000000001,-0.06961538461538462
66,NLP,5,1,6,-0.019111111111111117,-0.06961538461538462
67,Deep Learning,1,2,3,-0.10800000000000001,-0.031153846153846157
68,Algorithms,2,0,2,-0.08577777777777779,-0.10807692307692308
69,Gradle,1,0,1,-0.10800000000000001,-0.10807692307692308
70,Redis,1,0,1,-0.10800000000000001,-0.10807692307692308
71,Spring Framework,4,2,6,-0.04133333333333334,-0.031153846153846157
72,Data Analysis,0,18,18,-0.13022222222222224,0.5842307692307692
73,Microsoft Excel,0,14,14,-0.13022222222222224,0.43038461538461537
74,MySQL,0,9,9,-0.13022222222222224,0.23807692307692305
75,HTML,0,7,7,-0.13022222222222224,0.16115384615384615
76,Microsoft Office,0,5,5,-0.13022222222222224,0.08423076923076923
77,C++,0,4,4,-0.13022222222222224,0.04576923076923077
78,R (Programming Language),0,4,4,-0.13022222222222224,0.04576923076923077
79,Data Engineering,0,3,3,-0.13022222222222224,0.007307692307692306
80,Spring Boot,0,3,3,-0.13022222222222224,0.007307692307692306
81,C (Programming Language),0,2,2,-0.13022222222222224,-0.031153846153846157
82,Cascading Style Sheets,0,2,2,-0.13022222222222224,-0.031153846153846157
83,Project Management,0,2,2,-0.13022222222222224,-0.031153846153846157
84,Amazon D3,0,1,1,-0.13022222222222224,-0.06961538461538462
85,Data Analytics,0,1,1,-0.13022222222222224,-0.06961538461538462
86,Data Mining,0,1,1,-0.13022222222222224,-0.06961538461538462
87,Database Management System (DBMS),0,1,1,-0.13022222222222224,-0.06961538461538462
88,Github,0,1,1,-0.13022222222222224,-0.06961538461538462
89,High Performance Computing (HPC),0,1,1,-0.13022222222222224,-0.06961538461538462
90,Java Message Service (JMS),0,1,1,-0.13022222222222224,-0.06961538461538462
91,Jira,0,1,1,-0.13022222222222224,-0.06961538461538462
92,Microsoft PowerPoint,0,1,1,-0.13022222222222224,-0.06961538461538462
93,Node.js,0,1,1,-0.13022222222222224,-0.06961538461538462
94,Public Speaking,0,1,1,-0.13022222222222224,-0.06961538461538462
95,PySpark,0,1,1,-0.13022222222222224,-0.06961538461538462
96,Redux.js,0,1,1,-0.13022222222222224,-0.06961538461538462
97,Research,0,1,1,-0.13022222222222224,-0.06961538461538462
98,Software Development,0,1,1,-0.13022222222222224,-0.06961538461538462
99,Teamwork,0,1,1,-0.13022222222222224,-0.06961538461538462
