,Skill,Job_Posting_Count,Applicant_Count,Sum,x,y
21,Analytical Skills,27,2,29,0.4697777777777778,-0.031153846153846157
25,DevOps,27,0,27,0.4697777777777778,-0.10807692307692308
5,Agile Methodologies,23,2,25,0.3808888888888889,-0.031153846153846157
20,Data Warehousing,21,1,22,0.33644444444444443,-0.06961538461538462
36,Data Modeling,20,1,21,0.31422222222222224,-0.06961538461538462
27,Streaming Data,17,0,17,0.24755555555555556,-0.10807692307692308
18,Google Cloud Platform (GCP),14,1,15,0.1808888888888889,-0.06961538461538462
32,REST APIs,11,1,12,0.11422222222222221,-0.06961538461538462
45,Monitoring,10,0,10,0.092,-0.10807692307692308
12,PostgreSQL,9,0,9,0.06977777777777777,-0.10807692307692308
13,Docker Products,8,1,9,0.047555555555555545,-0.06961538461538462
29,Communication,8,2,10,0.047555555555555545,-0.031153846153846157
40,Apache Kafka,7,1,8,0.025333333333333326,-0.06961538461538462
0,Artificial Intelligence,7,2,9,0.025333333333333326,-0.031153846153846157
38,Scala,6,0,6,0.003111111111111104,-0.10807692307692308
30,Linux,6,1,7,0.003111111111111104,-0.06961538461538462
26,Problem Solving,6,2,8,0.003111111111111104,-0.031153846153846157
52,Data Structures,6,2,8,0.003111111111111104,-0.031153846153846157
58,SQL Server Reporting Services (SSRS),6,1,7,0.003111111111111104,-0.06961538461538462
