,Skill,Job_Posting_Count,Applicant_Count,Sum,x,y
6,"Extract, Transform, Load (ETL)",45,14,59,0.8697777777777778,0.43038461538461537
7,Databases,41,6,47,0.7808888888888889,0.12269230769230768
4,Python,28,24,52,0.492,0.8150000000000001
8,SQL,28,26,54,0.492,0.8919230769230769
25,DevOps,27,0,27,0.4697777777777778,-0.10807692307692308
21,Analytical Skills,27,2,29,0.4697777777777778,-0.031153846153846157
22,Microsoft Azure,25,4,29,0.42533333333333334,0.04576923076923077
5,Agile Methodologies,23,2,25,0.3808888888888889,-0.031153846153846157
11,AWS,21,5,26,0.33644444444444443,0.08423076923076923
20,Data Warehousing,21,1,22,0.33644444444444443,-0.06961538461538462
36,Data Modeling,20,1,21,0.31422222222222224,-0.06961538461538462
1,Machine Learning,18,14,32,0.2697777777777778,0.43038461538461537
27,Streaming Data,17,0,17,0.24755555555555556,-0.10807692307692308
18,Google Cloud Platform (GCP),14,1,15,0.1808888888888889,-0.06961538461538462
3,Java,11,12,23,0.11422222222222221,0.35346153846153844
32,REST APIs,11,1,12,0.11422222222222221,-0.06961538461538462
45,Monitoring,10,0,10,0.092,-0.10807692307692308
12,PostgreSQL,9,0,9,0.06977777777777777,-0.10807692307692308
9,Git,9,4,13,0.06977777777777777,0.04576923076923077
47,Microsoft SQL Server,9,5,14,0.06977777777777777,0.08423076923076923
49,Big Data,8,3,11,0.047555555555555545,0.007307692307692306
29,Communication,8,2,10,0.047555555555555545,-0.031153846153846157
13,Docker Products,8,1,9,0.047555555555555545,-0.06961538461538462
40,Apache Kafka,7,1,8,0.025333333333333326,-0.06961538461538462
0,Artificial Intelligence,7,2,9,0.025333333333333326,-0.031153846153846157
38,Scala,6,0,6,0.003111111111111104,-0.10807692307692308
30,Linux,6,1,7,0.003111111111111104,-0.06961538461538462
26,Problem Solving,6,2,8,0.003111111111111104,-0.031153846153846157
2,JavaScript,6,7,13,0.003111111111111104,0.16115384615384615
52,Data Structures,6,2,8,0.003111111111111104,-0.031153846153846157
57,Microsoft Power BI,6,9,15,0.003111111111111104,0.23807692307692305
58,SQL Server Reporting Services (SSRS),6,1,7,0.003111111111111104,-0.06961538461538462
